,hist,ensmean,ens5th,ens25th,ens75th,ens95th
29/6/2022,2.455724001,NA,NA,NA,NA,NA
30/6/2022,2.211416245,NA,NA,NA,NA,NA
1/7/2022,0.450469941,NA,NA,NA,NA,NA
2/7/2022,0.291940898,NA,NA,NA,NA,NA
3/7/2022,0.152353272,NA,NA,NA,NA,NA
4/7/2022,NA,NA,NA,NA,NA,NA
5/7/2022,NA,NA,NA,NA,NA,NA
6/7/2022,NA,NA,NA,NA,NA,NA
7/7/2022,NA,NA,NA,NA,NA,NA
8/7/2022,NA,NA,NA,NA,NA,NA
9/7/2022,NA,NA,NA,NA,NA,NA
10/7/2022,NA,NA,NA,NA,NA,NA
11/7/2022,NA,NA,NA,NA,NA,NA
12/7/2022,0.152698934,NA,NA,NA,NA,NA
13/7/2022,0.190183863,NA,NA,NA,NA,NA
14/7/2022,NA,NA,NA,NA,NA,NA
15/7/2022,NA,NA,NA,NA,NA,NA
16/7/2022,NA,NA,NA,NA,NA,NA
17/7/2022,NA,NA,NA,NA,NA,NA
18/7/2022,0.219651058,NA,NA,NA,NA,NA
19/7/2022,0.150064364,NA,NA,NA,NA,NA
20/7/2022,0.158701047,NA,NA,NA,NA,NA
21/7/2022,0.388496011,NA,NA,NA,NA,NA
22/7/2022,0.148982242,NA,NA,NA,NA,NA
23/7/2022,0.121188775,NA,NA,NA,NA,NA
24/7/2022,NA,NA,NA,NA,NA,NA
25/7/2022,NA,NA,NA,NA,NA,NA
26/7/2022,NA,NA,NA,NA,NA,NA
27/7/2022,NA,NA,NA,NA,NA,NA
28/7/2022,NA,NA,NA,NA,NA,NA
29/7/2022,NA,NA,NA,NA,NA,NA
30/7/2022,NA,NA,NA,NA,NA,NA
31/7/2022,NA,NA,NA,NA,NA,NA
1/8/2022,NA,NA,NA,NA,NA,NA
2/8/2022,NA,NA,NA,NA,NA,NA
3/8/2022,NA,NA,NA,NA,NA,NA
4/8/2022,NA,NA,NA,NA,NA,NA
5/8/2022,NA,NA,NA,NA,NA,NA
6/8/2022,NA,NA,NA,NA,NA,NA
7/8/2022,NA,NA,NA,NA,NA,NA
8/8/2022,NA,NA,NA,NA,NA,NA
9/8/2022,NA,NA,NA,NA,NA,NA
10/8/2022,NA,NA,NA,NA,NA,NA
11/8/2022,NA,NA,NA,NA,NA,NA
12/8/2022,NA,NA,NA,NA,NA,NA
13/8/2022,NA,NA,NA,NA,NA,NA
14/8/2022,NA,NA,NA,NA,NA,NA
15/8/2022,NA,NA,NA,NA,NA,NA
16/8/2022,NA,NA,NA,NA,NA,NA
17/8/2022,NA,NA,NA,NA,NA,NA
18/8/2022,NA,NA,NA,NA,NA,NA
19/8/2022,NA,NA,NA,NA,NA,NA
20/8/2022,NA,NA,NA,NA,NA,NA
21/8/2022,NA,NA,NA,NA,NA,NA
22/8/2022,NA,NA,NA,NA,NA,NA
23/8/2022,NA,NA,NA,NA,NA,NA
24/8/2022,NA,NA,NA,NA,NA,NA
25/8/2022,NA,NA,NA,NA,NA,NA
26/8/2022,NA,NA,NA,NA,NA,NA
27/8/2022,NA,NA,NA,NA,NA,NA
28/8/2022,NA,NA,NA,NA,NA,NA
29/8/2022,NA,NA,NA,NA,NA,NA
30/8/2022,NA,NA,NA,NA,NA,NA
31/8/2022,NA,NA,NA,NA,NA,NA
1/9/2022,NA,NA,NA,NA,NA,NA
2/9/2022,NA,NA,NA,NA,NA,NA
